Wavenumber [1/cm],A,B,C
1998.829048,0.128215798,0.12866708,0.02850881
1995.099889,0.123666459,0.12718135,0.02763355
1991.37073,0.120237833,0.127874761,0.02804339
1987.641572,0.119838424,0.130040704,0.02870071
1983.912413,0.121213624,0.128915543,0.0290651
1980.183254,0.121693844,0.125738431,0.0291818
1976.454096,0.122025529,0.122302688,0.0283486
1972.724937,0.123134924,0.119599893,0.02640303
1968.995778,0.125170819,0.11678487,0.02368446
1965.26662,0.127376878,0.113995665,0.02370656
1961.537461,0.130011533,0.109586165,0.02482428
1957.808302,0.128708252,0.105515817,0.02348824
1954.079144,0.126713986,0.106996768,0.02289535
1950.349985,0.12847134,0.112482719,0.02489711
1946.620826,0.12928811,0.113556095,0.02670378
1942.891668,0.124587245,0.109892706,0.02602699
1939.162509,0.119459151,0.107908634,0.02693887
1935.43335,0.118778737,0.10833356,0.02984454
1931.704192,0.119731093,0.107173571,0.03277656
1927.975033,0.118819331,0.103832019,0.03621937
1924.245874,0.118788446,0.101627099,0.04134253
1920.516716,0.118256067,0.096555951,0.04539059
1916.787557,0.113497354,0.090211199,0.04590214
1913.058398,0.107542543,0.08511748,0.04242592
1909.32924,0.100698321,0.081387727,0.03890499
1905.600081,0.094133121,0.075006045,0.03617797
1901.870922,0.090176261,0.066135921,0.03649145
1898.141764,0.087601612,0.06073599,0.03788776
1894.412605,0.082640884,0.057099389,0.03692431
1890.683446,0.079477494,0.054785354,0.03622376
1886.954288,0.07681893,0.052860249,0.03384359
1883.225129,0.07447376,0.047783303,0.0272521
1879.49597,0.07379863,0.041134972,0.02063951
1875.766812,0.074393696,0.037584412,0.01773899
1872.037653,0.073302516,0.034421185,0.01728493
1868.308494,0.074200139,0.032885446,0.01790601
1864.579336,0.080748643,0.032710605,0.01877235
1860.850177,0.085226623,0.030866851,0.01969288
1857.121018,0.080185058,0.028655135,0.01860701
1853.39186,0.068071127,0.029320593,0.01795763
1849.662701,0.057908161,0.031517147,0.01732995
1845.933542,0.050666132,0.033525265,0.01542956
1842.204384,0.046378399,0.038931756,0.01318939
1838.475225,0.043212552,0.047200467,0.01164367
1834.746066,0.043411649,0.060651023,0.01089303
1831.016908,0.045456203,0.083357597,0.00946989
1827.287749,0.048857159,0.119431329,0.00782424
1823.55859,0.051515013,0.168824246,0.007057
1819.829432,0.055174755,0.214773019,0.00783304
1816.100273,0.059905711,0.226214944,0.00819752
1812.371114,0.068335177,0.194841213,0.00794863
