points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,17.768292060750884,34.58559553898463,8.564821253766587,121,0.0001,True,2000,4,als,2,rxn2,0.17768292060750884,
"(1, 3)",True,17.7733663432201,33.00818907282442,9.137835413140685,69,0.0001,True,2000,4,als,2,rxn2,0.177733663432201,
"(1, 4)",True,17.791062861742684,28.50320920110936,7.982496130647571,44,0.0001,True,2000,4,als,2,rxn2,0.17791062861742685,
"(1, 5)",True,17.779979225083974,29.065876827202864,8.531209854909294,34,0.0001,True,2000,4,als,2,rxn2,0.17779979225083972,
"(1, 6)",True,17.78783088884095,29.448330354275836,8.007428250566148,28,0.0001,True,2000,4,als,2,rxn2,0.1778783088884095,
"(1, 7)",True,17.77745531058032,30.837762661333695,8.148820106149651,34,0.0001,True,2000,4,als,2,rxn2,0.17777455310580317,
"(1, 8)",True,17.784588427563865,30.096601863522356,8.165325037404884,37,0.0001,True,2000,4,als,2,rxn2,0.17784588427563866,
"(1, 9)",True,17.77586893861032,32.634521370087654,9.031793932702941,38,0.0001,True,2000,4,als,2,rxn2,0.1777586893861032,
"(1, 10)",True,17.77070223113477,35.709967872321656,9.159594744125968,38,0.0001,True,2000,4,als,2,rxn2,0.1777070223113477,
"(1, 11)",True,17.76871060075175,34.19060313188274,8.126702151082517,45,0.0001,True,2000,4,als,2,rxn2,0.1776871060075175,
"(1, 12)",True,17.76974075858964,36.33438924077411,6.5852821952796345,53,0.0001,True,2000,4,als,2,rxn2,0.17769740758589642,
"(1, 13)",True,17.765351821186954,32.68479391671069,5.831301812715236,70,0.0001,True,2000,4,als,2,rxn2,0.17765351821186953,
"(1, 14)",True,17.763703651658947,33.35913387140562,6.018035178928038,72,0.0001,True,2000,4,als,2,rxn2,0.17763703651658946,
"(1, 15)",True,17.758655405768277,36.11348945061207,6.427117527444344,77,0.0001,True,2000,4,als,2,rxn2,0.17758655405768276,
"(1, 16)",True,17.76019247528453,38.008555309954595,7.441727342318181,72,0.0001,True,2000,4,als,2,rxn2,0.1776019247528453,
"(1, 17)",True,17.753584166372104,40.213218933300205,7.074590422841998,81,0.0001,True,2000,4,als,2,rxn2,0.17753584166372102,
"(1, 18)",True,17.749035738464155,41.67855095352927,7.8955273551642,93,0.0001,True,2000,4,als,2,rxn2,0.17749035738464156,
