points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,18.12451302857891,15.211132353585546,2.1565600324450838,42,0.0001,True,2000,4,fpgm,2,rxn1,0.1812451302857891,
"(1, 3)",True,18.124941792155433,15.359360658264306,1.9324936475463823,34,0.0001,True,2000,4,fpgm,2,rxn1,0.18124941792155433,
"(1, 4)",True,18.124454994790113,15.404462875470985,1.7961500024318648,30,0.0001,True,2000,4,fpgm,2,rxn1,0.18124454994790112,
"(1, 5)",True,18.128652491104585,15.182425195364994,4.353508142145536,32,0.0001,True,2000,4,fpgm,2,rxn1,0.18128652491104585,
"(1, 6)",True,18.128517607728238,15.366548385236072,3.9785441008249185,37,0.0001,True,2000,4,fpgm,2,rxn1,0.18128517607728237,
"(1, 7)",True,18.12705328905027,15.176498277296265,3.8505635572533676,37,0.0001,True,2000,4,fpgm,2,rxn1,0.18127053289050268,
"(1, 8)",True,18.12669947968579,15.266602280724626,3.5108961311181153,40,0.0001,True,2000,4,fpgm,2,rxn1,0.1812669947968579,
"(1, 9)",True,18.126291056013986,15.281638786812934,3.241178807312344,42,0.0001,True,2000,4,fpgm,2,rxn1,0.18126291056013988,
"(1, 10)",True,18.126033527266564,15.2877568401736,2.9887016798048767,44,0.0001,True,2000,4,fpgm,2,rxn1,0.18126033527266563,
"(1, 11)",True,18.125249243535155,15.325116116281174,1.1220526715681514,43,0.0001,True,2000,4,fpgm,2,rxn1,0.18125249243535155,
"(1, 12)",True,18.126137557796955,15.419640611026015,0.9192474880074433,47,0.0001,True,2000,4,fpgm,2,rxn1,0.18126137557796954,
"(1, 13)",True,18.125359762366095,15.17030556345149,1.3842517237992553,48,0.0001,True,2000,4,fpgm,2,rxn1,0.18125359762366094,
"(1, 14)",True,18.12590853861628,15.229815552590688,1.161103525686203,53,0.0001,True,2000,4,fpgm,2,rxn1,0.1812590853861628,
"(1, 15)",True,18.126075062205093,15.22068260873809,1.3469894846130022,53,0.0001,True,2000,4,fpgm,2,rxn1,0.18126075062205094,
"(1, 16)",True,18.126789900040905,15.230390014043188,1.1843030363400129,57,0.0001,True,2000,4,fpgm,2,rxn1,0.18126789900040904,
"(1, 17)",True,18.12691944233799,15.244181175781074,1.3651198172013403,59,0.0001,True,2000,4,fpgm,2,rxn1,0.18126919442337988,
"(1, 18)",True,18.127333434784425,15.267655358359034,1.585446015679713,59,0.0001,True,2000,4,fpgm,2,rxn1,0.18127333434784426,
"(1, 19)",True,18.128064028935327,15.257579031006646,1.4470985299070591,65,0.0001,True,2000,4,fpgm,2,rxn1,0.18128064028935326,
"(1, 20)",True,18.126874882669618,15.254678824991293,2.141295461408882,62,0.0001,True,2000,4,fpgm,2,rxn1,0.1812687488266962,
"(1, 21)",True,18.127039825474927,15.337503164150647,2.644777737412132,59,0.0001,True,2000,4,fpgm,2,rxn1,0.18127039825474928,
"(1, 22)",True,18.127356392933965,15.34233544187696,2.4681961907467174,59,0.0001,True,2000,4,fpgm,2,rxn1,0.18127356392933966,
"(1, 23)",True,18.127719649802838,15.302778296643435,2.227850679770235,62,0.0001,True,2000,4,fpgm,2,rxn1,0.1812771964980284,
"(1, 24)",True,18.128091757796593,15.34558981131132,2.384349862600868,62,0.0001,True,2000,4,fpgm,2,rxn1,0.18128091757796594,
"(1, 25)",True,18.1278124622232,15.41146879333929,2.6872509707438037,58,0.0001,True,2000,4,fpgm,2,rxn1,0.181278124622232,
"(1, 26)",True,18.12775409698011,15.352813071923805,2.3137885361946173,61,0.0001,True,2000,4,fpgm,2,rxn1,0.1812775409698011,
"(1, 27)",True,18.129363822536344,15.314090956793677,1.980888033652544,63,0.0001,True,2000,4,fpgm,2,rxn1,0.18129363822536343,
"(1, 28)",True,18.129883302839715,15.362436995476573,2.102824798657282,62,0.0001,True,2000,4,fpgm,2,rxn1,0.18129883302839714,
"(1, 29)",True,18.129661379460906,15.414123134352163,2.2664802770016848,62,0.0001,True,2000,4,fpgm,2,rxn1,0.18129661379460904,
"(1, 30)",True,18.12868508976934,15.422925623813784,2.538691929473007,61,0.0001,True,2000,4,fpgm,2,rxn1,0.18128685089769342,
"(1, 31)",True,18.12878029025382,15.465393631426924,2.7647122382806875,58,0.0001,True,2000,4,fpgm,2,rxn1,0.1812878029025382,
"(1, 32)",True,18.129025386090028,15.485157110522747,2.7859239314107827,58,0.0001,True,2000,4,fpgm,2,rxn1,0.18129025386090028,
"(1, 33)",True,18.1301031554899,15.499773676759933,2.710461217435684,59,0.0001,True,2000,4,fpgm,2,rxn1,0.181301031554899,
"(1, 34)",True,18.12857861305234,15.524738444743761,3.174418196431092,56,0.0001,True,2000,4,fpgm,2,rxn1,0.1812857861305234,
"(1, 35)",True,18.128529234709035,15.536650333705463,3.110017673614407,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18128529234709034,
"(1, 36)",True,18.12880401195754,15.538081569949743,2.9845103990308117,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18128804011957542,
"(1, 37)",True,18.129105949346894,15.55330420346866,2.8568166811666695,57,0.0001,True,2000,4,fpgm,2,rxn1,0.18129105949346894,
"(1, 38)",True,18.129904393197,15.518112581411554,2.755014024840519,58,0.0001,True,2000,4,fpgm,2,rxn1,0.18129904393196997,
"(1, 39)",True,18.12993491314341,15.54960804027582,2.896468772758237,57,0.0001,True,2000,4,fpgm,2,rxn1,0.18129934913143408,
"(1, 40)",True,18.12922995912451,15.535827037129403,3.1037640078620456,56,0.0001,True,2000,4,fpgm,2,rxn1,0.1812922995912451,
"(1, 41)",True,18.129618236392815,15.574306758248804,3.0778845490868205,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18129618236392814,
"(1, 42)",True,18.128543614110214,15.574737821251292,3.2407317284625172,55,0.0001,True,2000,4,fpgm,2,rxn1,0.18128543614110212,
"(1, 43)",True,18.128786743761125,15.574893951497137,3.111910657297252,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18128786743761127,
"(1, 44)",True,18.128630222666914,15.557746474832847,3.1163019083698824,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18128630222666914,
"(1, 45)",True,18.12892134518531,15.593583955543606,3.0454840501324965,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18128921345185312,
"(1, 46)",True,18.12897918793233,15.59379909687376,3.056229625455058,56,0.0001,True,2000,4,fpgm,2,rxn1,0.1812897918793233,
"(1, 47)",True,18.12881042133737,15.583625694696948,3.0953477212138893,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18128810421337369,
"(1, 48)",True,18.12942750710714,15.588051809112216,2.9678311904859958,56,0.0001,True,2000,4,fpgm,2,rxn1,0.18129427507107138,
"(1, 49)",True,18.129255011474392,15.591313264995549,3.0278453698845142,56,0.0001,True,2000,4,fpgm,2,rxn1,0.1812925501147439,
