points,converged,% Rel-MSE X,% Rel-MSE W,% Rel-MSE H,iter_perf,tol,unimodal,iter_max,constraint_kind,model,noise [%],dataset,relative loss,lambda
"(1, 2)",True,33.4415507903256,36.673862965590374,11.470143296123464,43,0.0001,True,2000,4,mvol,5,rxn1,0.334613170910375,0.001
"(1, 3)",True,33.44418276517715,37.06623474135206,10.241382571976256,47,0.0001,True,2000,4,mvol,5,rxn1,0.3346395207479066,0.001
"(1, 4)",True,33.44209301697021,37.33376753230248,10.350194124607473,44,0.0001,True,2000,4,mvol,5,rxn1,0.33462072573688884,0.001
"(1, 5)",True,33.441179911816455,36.90494591835497,10.560384356629903,43,0.0001,True,2000,4,mvol,5,rxn1,0.33460996990364744,0.001
"(1, 6)",True,33.44118516466945,37.4111874625026,9.816051938904584,47,0.0001,True,2000,4,mvol,5,rxn1,0.33461133176009256,0.001
"(1, 7)",True,33.43974430696747,36.91242666824092,10.129729739731419,43,0.0001,True,2000,4,mvol,5,rxn1,0.3345949563557344,0.001
"(1, 8)",True,33.43858037793047,37.388590245081666,9.147943893844488,46,0.0001,True,2000,4,mvol,5,rxn1,0.33458437363366456,0.001
"(1, 9)",True,33.43909913240603,37.437815673897326,8.769694058863017,44,0.0001,True,2000,4,mvol,5,rxn1,0.3345889277106542,0.001
"(1, 10)",True,33.43994419571082,37.406965515241126,8.605013526975936,40,0.0001,True,2000,4,mvol,5,rxn1,0.3345967960860777,0.001
"(1, 11)",True,33.43850611612735,37.69339552713616,7.793530380455389,42,0.0001,True,2000,4,mvol,5,rxn1,0.3345830227124675,0.001
"(1, 12)",True,33.440257334662945,37.965796628126924,6.9835875750581025,44,0.0001,True,2000,4,mvol,5,rxn1,0.33460092947802517,0.001
"(1, 13)",True,33.43614398713374,37.41464647890721,7.650570594949328,41,0.0001,True,2000,4,mvol,5,rxn1,0.3345590972574334,0.001
"(1, 14)",True,33.43795407348234,37.60669136010446,6.7654507175831995,45,0.0001,True,2000,4,mvol,5,rxn1,0.3345771604643313,0.001
"(1, 15)",True,33.43643648891092,37.51165022349756,6.580124830927321,44,0.0001,True,2000,4,mvol,5,rxn1,0.33456127841762745,0.001
"(1, 16)",True,33.43807536197173,37.64796839632829,5.696151058010415,48,0.0001,True,2000,4,mvol,5,rxn1,0.334577460624647,0.001
"(1, 17)",True,33.4379762823395,37.50193904688135,5.5577729666978986,48,0.0001,True,2000,4,mvol,5,rxn1,0.3345752984194446,0.001
"(1, 18)",True,33.43787010464688,37.41794565805113,5.374117862194715,50,0.0001,True,2000,4,mvol,5,rxn1,0.3345733447653167,0.001
"(1, 19)",True,33.44089431960409,37.240809360275364,5.548295320710796,48,0.0001,True,2000,4,mvol,5,rxn1,0.3346028181939261,0.001
"(1, 20)",True,33.43700045094928,36.902668979278936,7.415265388237093,39,0.0001,True,2000,4,mvol,5,rxn1,0.33456328905649996,0.001
"(1, 21)",True,33.43470450645762,36.88755036850442,7.546849576942562,38,0.0001,True,2000,4,mvol,5,rxn1,0.33454004976577245,0.001
"(1, 22)",True,33.435875313267374,36.97559230995666,6.5684856722021605,39,0.0001,True,2000,4,mvol,5,rxn1,0.3345515646616129,0.001
"(1, 23)",True,33.43702699520328,36.98913930980872,6.109198196568561,39,0.0001,True,2000,4,mvol,5,rxn1,0.33456293932873826,0.001
"(1, 24)",True,33.43630094088731,37.050138631117406,5.667538221784848,40,0.0001,True,2000,4,mvol,5,rxn1,0.33455532402523186,0.001
"(1, 25)",True,33.43600619404566,37.04934509948617,5.502283079948076,41,0.0001,True,2000,4,mvol,5,rxn1,0.33455219184229323,0.001
"(1, 26)",True,33.43667574199705,37.16854332634354,4.4245555763962985,46,0.0001,True,2000,4,mvol,5,rxn1,0.3345586958791121,0.001
"(1, 27)",True,33.43853962113375,37.28181002338243,3.4378339242122604,50,0.0001,True,2000,4,mvol,5,rxn1,0.33457710059065954,0.001
"(1, 28)",True,33.43989184342792,37.28439851274629,3.7789536211453774,48,0.0001,True,2000,4,mvol,5,rxn1,0.33459006289845716,0.001
"(1, 29)",True,33.43944048588041,37.23280927515159,4.534014105767254,45,0.0001,True,2000,4,mvol,5,rxn1,0.3345852957473909,0.001
